Order ID,Subject Address,Subject GLA,Subject Lot Size,Subject Bedrooms,Subject Bathrooms,Subject Property Type,Subject Stories,Effective Date,Comp Rank,Match Score,Candidate Address,Candidate GLA,Candidate Lot Size,Candidate Bedrooms,Candidate Bathrooms,Candidate Property Type,Candidate Stories,Sale Date,GLA Difference,Lot Size Difference,Bedroom Difference,Bathroom Difference,Same Property Type,Same Storey Type,Recent Sale (90 days),Recent Sale (180 days),Property Match Score,Size Similarity
4762597,N/A,1044.0,,3.0,1.5,Townhouse,2 Storey,2025-04-11,1,0.4%,N/A,1100.0,,3.0,1.0,Condominium,2 Storey,2025-02-05,56 (5.1%),nan (nan%),0.0,0.5,0,1,1,1,0.60,0.64
4762597,N/A,1044.0,,3.0,1.5,Townhouse,2 Storey,2025-04-11,2,0.3%,N/A,1750.0,,3.0,0.0,Townhouse,2 Storey,2025-05-06,706 (40.3%),nan (nan%),0.0,1.5,1,1,1,1,1.00,0.12
4762597,N/A,1044.0,,3.0,1.5,Townhouse,2 Storey,2025-04-11,3,0.3%,N/A,1100.0,,3.0,0.0,Condominium,2 Storey,2025-02-05,56 (5.1%),nan (nan%),0.0,1.5,0,1,1,1,0.60,0.64
4762739,N/A,1500.0,72745.0,3.0,2.5,Detached,1.5 Storey,2025-04-17,1,34.8%,N/A,1100.0,21446.0,3.0,2.0,Detached,2 Storey,2024-12-13,400 (36.3%),51299 (239.2%),0.0,0.5,1,0,0,1,0.40,0.20
4762739,N/A,1500.0,72745.0,3.0,2.5,Detached,1.5 Storey,2025-04-17,2,31.3%,N/A,1026.0,43560.0,3.0,1.5,Detached,Bungalow,2024-11-01,474 (46.2%),29185 (67.0%),0.0,1.0,1,0,0,1,0.40,0.17
4762739,N/A,1500.0,72745.0,3.0,2.5,Detached,1.5 Storey,2025-04-17,3,28.1%,N/A,1136.0,65340.0,2.0,2.0,Detached,Bungalow,2024-10-30,364 (32.0%),7405 (11.3%),1.0,0.5,1,0,0,1,0.40,0.22
4763065,N/A,3000.0,20174.0,4.0,2.5,Detached,2 Storey,2025-05-01,1,86.5%,N/A,2801.0,4000.0,4.0,3.5,Detached,2 Storey,2024-12-03,199 (7.1%),16174 (404.2%),0.0,1.0,1,1,0,1,0.70,0.33
4763065,N/A,3000.0,20174.0,4.0,2.5,Detached,2 Storey,2025-05-01,2,74.5%,N/A,3420.0,5733.0,4.0,3.5,Detached,2 Storey,2025-02-21,420 (12.3%),14441 (251.8%),0.0,1.0,1,1,1,1,1.00,0.19
4763065,N/A,3000.0,20174.0,4.0,2.5,Detached,2 Storey,2025-05-01,3,51.8%,N/A,2600.0,3978.0,4.0,3.5,Detached,2 Storey,2025-03-24,400 (15.4%),16196 (407.0%),0.0,1.0,1,1,1,1,1.00,0.20
4763086,N/A,1283.0,54450.0,2.0,3.0,Detached,Bungalow,2025-04-15,1,69.6%,N/A,1750.0,386097.0,3.0,3.0,Detached,Bungalow,2025-03-07,467 (26.7%),331647 (85.9%),1.0,0.0,1,1,1,1,1.00,0.18
