orderID,subj_gla,gla_clean,gla_diff,subj_lot_size,lot_size_clean,lot_size_diff,subj_bedrooms,bedrooms_clean,bedroom_diff,subj_bathrooms,bathrooms_clean,bathroom_diff,subj_room_count,room_count_clean,room_count_diff,subj_property_type,property_type_clean,same_property_type,subj_stories,stories_clean,same_storey_type,sale_date_clean,sold_recently_90,sold_recently_180
4762597,1044.0,1044.0,0.0,,,,3.0,3.0,0.0,1.5,2.0,0.5,6.0,6.0,0.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,2024-10-25,0,1
4762597,1044.0,1044.0,0.0,,,,3.0,3.0,0.0,1.5,1.0,0.5,6.0,6.0,0.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,2025-02-05,1,1
4762597,1044.0,1044.0,0.0,,,,3.0,3.0,0.0,1.5,2.0,0.5,6.0,6.0,0.0,Townhouse,Townhouse,1.0,2 Storey,2 Storey,1.0,2025-02-14,1,1
4762739,1500.0,1602.0,102.0,72745.0,80212.0,7467.0,3.0,3.0,0.0,2.5,2.0,0.5,6.0,6.0,0.0,Detached,Detached,1.0,1.5 Storey,1 Storey,0.0,2025-01-16,0,1
4762739,1500.0,2100.0,600.0,72745.0,61700.0,11045.0,3.0,3.0,0.0,2.5,2.0,0.5,6.0,6.0,0.0,Detached,Detached,1.0,1.5 Storey,1 Storey,0.0,2024-12-21,0,1
4762739,1500.0,1662.0,162.0,72745.0,48200.0,24545.0,3.0,2.0,1.0,2.5,2.0,0.5,6.0,5.0,1.0,Detached,Detached,1.0,1.5 Storey,1.5 Storey,1.0,2024-11-23,0,1
4763065,3000.0,2003.0,997.0,20174.0,15116.0,5058.0,4.0,4.0,0.0,2.5,2.5,0.0,9.0,8.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-03-26,1,1
4763065,3000.0,2940.0,60.0,20174.0,11138.0,9036.0,4.0,4.0,0.0,2.5,3.5,1.0,9.0,8.0,1.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2024-12-24,0,1
4763065,3000.0,2365.0,635.0,20174.0,29200.0,9026.0,4.0,3.0,1.0,2.5,2.5,0.0,9.0,7.0,2.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,2025-04-16,1,1
4763086,1283.0,1571.0,288.0,54450.0,76050.0,21600.0,2.0,3.0,1.0,3.0,2.0,1.0,5.0,6.0,1.0,Detached,Detached,1.0,Bungalow,Bungalow,1.0,2025-02-20,1,1
