Order ID,Subject GLA,Subject Lot Size,Subject Bedrooms,Subject Bathrooms,Subject Property Type,Subject Stories,Effective Date,Rank,Ranking Score,Candidate GLA,Candidate Lot Size,Candidate Bedrooms,Candidate Bathrooms,Candidate Property Type,Candidate Stories,Sale Date,GLA Difference,Lot Size Difference,Bedroom Difference,Bathroom Difference,Same Property Type,Same Storey Type,Recent Sale (90 days),Size Similarity,Property Match Score,Total Difference Score,_score
4723364,1254.0,609840.0,3.0,1.5,Detached,2 Storey,2025-02-13,1,3.7046,1300.0,3636.0,3.0,2.0,Detached,2 Storey,2025-02-07,46 (3.5%),606204,0.0,0.5,Yes,Yes,Yes,0.685,1.000,1.715,3.7046
4723364,1254.0,609840.0,3.0,1.5,Detached,2 Storey,2025-02-13,2,3.5500,1482.0,22080.0,3.0,2.0,Detached,Bungalow,2025-01-24,228 (15.4%),587760,0.0,0.5,Yes,No,Yes,0.305,0.700,6.654,3.55
4723364,1254.0,609840.0,3.0,1.5,Detached,2 Storey,2025-02-13,3,3.5500,1210.0,101.0,2.0,2.0,Detached,Bungalow,2025-03-07,44 (3.6%),609739,1.0,0.5,Yes,No,Yes,0.694,0.700,1.955,3.55
4742669,839.592,4639.284,2.0,2.0,Detached,Bungalow,2025-03-24,1,4.7925,839.0,5392.0,3.0,2.0,Detached,Bungalow,2024-12-26,1 (0.1%),753,1.0,0.0,Yes,Yes,Yes,0.994,1.000,0.428,4.7925
4742669,839.592,4639.284,2.0,2.0,Detached,Bungalow,2025-03-24,2,4.4360,959.0,6157.0,3.0,2.0,Detached,Bungalow,2025-01-14,119 (12.5%),1518,1.0,0.0,Yes,Yes,Yes,0.456,1.000,5.981,4.436
4742669,839.592,4639.284,2.0,2.0,Detached,Bungalow,2025-03-24,3,4.4079,816.0,5747.0,3.0,2.0,Detached,Bungalow,2025-01-27,24 (2.9%),1108,1.0,0.0,Yes,Yes,Yes,0.809,1.000,2.356,4.4079
4752865,2974.0,6512.219999999999,4.0,2.5,Detached,2 Storey,2025-04-07,1,2.7975,2628.0,5769.5,6.0,3.5,Detached,2 Storey,2025-04-10,346 (13.2%),743,2.0,1.0,Yes,Yes,Yes,0.224,1.000,7.266,2.7975
4752865,2974.0,6512.219999999999,4.0,2.5,Detached,2 Storey,2025-04-07,2,2.4460,2544.0,4513.1,6.0,3.5,Detached,2 Storey,2025-05-08,430 (16.9%),1999,2.0,1.0,Yes,Yes,Yes,0.189,1.000,8.961,2.446
4752865,2974.0,6512.219999999999,4.0,2.5,Detached,2 Storey,2025-04-07,3,1.5755,2445.0,5601.0,4.0,3.5,Detached,2 Storey,2025-03-31,529 (21.6%),911,0.0,1.0,Yes,Yes,Yes,0.159,1.000,9.254,1.5755
4755196,2956.0,3601.0,4.0,3.5,Detached,2 Storey,2025-04-14,1,4.3639,2826.0,3168.0,4.0,4.0,Detached,2 Storey,2025-02-21,130 (4.6%),433,0.0,0.5,Yes,Yes,Yes,0.435,1.000,2.140,4.3639
