orderID,id,subj_gla,gla_clean,gla_diff,subj_lot_size,lot_size_clean,lot_size_diff,subj_property_type,property_type_clean,same_property_type,subj_stories,stories_clean,same_storey_type,subj_room_count,room_count_clean,room_count_diff,subj_bedrooms,bedrooms_clean,bedroom_diff,subj_bathrooms,bathrooms_clean,bathroom_diff,sold_recently_90,sold_recently_180,pred,close_price,rank
4723364,77566.0,1254.0,1300.0,46.0,609840.0,3636.0,606204.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,7.0,8.0,1.0,3.0,3.0,0.0,1.5,2.0,0.5,1,1,0.20205072,610500.0,1
4723364,19364.0,1254.0,1697.0,443.0,609840.0,22200.0,587640.0,Detached,Detached,1.0,2 Storey,Bungalow,0.0,7.0,10.0,3.0,3.0,3.0,0.0,1.5,1.0,0.5,0,1,0.08529654,345000.0,2
4723364,16978.0,1254.0,1456.0,202.0,609840.0,3136.0,606704.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,7.0,13.0,6.0,3.0,3.0,0.0,1.5,2.5,1.0,0,1,0.028734058,640000.0,3
4742669,33996.0,839.592,839.0,0.5919999999999845,4639.284,5392.0,752.7160000000003,Detached,Detached,1.0,Bungalow,Bungalow,1.0,4.0,5.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,1,1,0.7223356,810000.0,1
4742669,206055.0,839.592,693.0,146.59199999999998,4639.284,7825.0,3185.7160000000003,Detached,Detached,1.0,Bungalow,Bungalow,1.0,4.0,4.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,1,1,0.34665298,725000.0,2
4742669,34006.0,839.592,959.0,119.40800000000002,4639.284,6157.0,1517.7160000000003,Detached,Detached,1.0,Bungalow,Bungalow,1.0,4.0,8.0,4.0,2.0,3.0,1.0,2.0,2.0,0.0,1,1,0.009835722,615000.0,3
4752865,52723.0,2974.0,2219.0,755.0,6512.219999999999,3912.7,2599.5199999999995,Detached,Detached,1.0,2 Storey,2 Storey,1.0,8.0,7.0,1.0,4.0,3.0,1.0,2.5,2.5,0.0,1,1,0.4407032,590000.0,1
4752865,286771.0,2974.0,2194.0,780.0,6512.219999999999,4600.4,1911.82,Detached,Detached,1.0,2 Storey,2 Storey,1.0,8.0,6.0,2.0,4.0,3.0,1.0,2.5,2.5,0.0,1,1,0.29541847,570000.0,2
4752865,274153.0,2974.0,2002.0,972.0,6512.219999999999,3340.1,3172.1199999999994,Detached,Detached,1.0,2 Storey,2 Storey,1.0,8.0,9.0,1.0,4.0,4.0,0.0,2.5,2.5,0.0,1,1,0.2643367,627500.0,3
4755196,76980.0,2956.0,2826.0,130.0,3601.0,3168.0,433.0,Detached,Detached,1.0,2 Storey,2 Storey,1.0,8.0,9.0,1.0,4.0,4.0,0.0,3.5,4.0,0.5,1,1,0.51545256,850000.0,1
4755196,78834.0,2956.0,2953.0,3.0,3601.0,,,Detached,Detached,1.0,2 Storey,2 Storey,1.0,8.0,10.0,2.0,4.0,4.0,0.0,3.5,4.0,0.5,1,1,0.40275297,1130000.0,2
4755196,2681.0,2956.0,2500.0,456.0,3601.0,5285.04,1684.04,Detached,Detached,1.0,2 Storey,2 Storey,1.0,8.0,8.0,0.0,4.0,4.0,0.0,3.5,4.0,0.5,1,1,0.27573466,878000.0,3
4756192,266981.0,1109.0,1016.0,93.0,,,,Condominium,Condominium,1.0,1 Storey,,,5.0,5.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1,1,0.10935258,365000.0,1
