orderID,subject_gla,subject_lot_size,subject_bedrooms,subject_bathrooms,subject_property_type,subject_stories,subject_effective_date,rank,probability_score,candidate_gla,candidate_lot_size,candidate_bedrooms,candidate_bathrooms,candidate_property_type,candidate_stories,candidate_sale_date,gla_difference,lot_size_difference,bedroom_difference,bathroom_difference,is_same_property_type,is_same_storey_type,sold_within_90_days,sold_within_180_days
4723364,1254.0,609840.0,3.0,1.5,Detached,2 Storey,2025-02-13,1,0.47600001096725464,1300.0,3636.0,3.0,2.0,Detached,2 Storey,2025-02-07,46.0,606204.0,0.0,0.5,1.0,1.0,1,1
4723364,1254.0,609840.0,3.0,1.5,Detached,2 Storey,2025-02-13,2,0.26100000739097595,3227.0,,5.0,3.5,Detached,2 Storey,2024-10-17,1973.0,,2.0,2.0,1.0,1.0,0,1
4723364,1254.0,609840.0,3.0,1.5,Detached,2 Storey,2025-02-13,3,0.18799999356269836,1210.0,101.0,2.0,2.0,Detached,Bungalow,2025-03-07,44.0,609739.0,1.0,0.5,1.0,0.0,1,1
4742669,839.592,4639.284,2.0,2.0,Detached,Bungalow,2025-03-24,1,0.9399999976158142,839.0,5392.0,3.0,2.0,Detached,Bungalow,2024-12-26,0.592,752.716,1.0,0.0,1.0,1.0,1,1
4742669,839.592,4639.284,2.0,2.0,Detached,Bungalow,2025-03-24,2,0.5299999713897705,1078.0,4994.0,5.0,2.0,Detached,Bungalow,2025-02-05,238.408,354.716,3.0,0.0,1.0,1.0,1,1
4742669,839.592,4639.284,2.0,2.0,Detached,Bungalow,2025-03-24,3,0.43700000643730164,850.0,5995.0,3.0,2.0,Detached,Bungalow,2024-12-25,10.408,1355.716,1.0,0.0,1.0,1.0,1,1
4752865,2974.0,6512.219999999999,4.0,2.5,Detached,2 Storey,2025-04-07,1,0.3370000123977661,1731.0,8049.3,3.0,2.5,Detached,,2025-01-20,1243.0,1537.08,1.0,0.0,1.0,,1,1
4752865,2974.0,6512.219999999999,4.0,2.5,Detached,2 Storey,2025-04-07,2,0.2199999988079071,2519.0,4199.4,3.0,2.5,Detached,,2025-02-09,455.0,2312.82,1.0,0.0,1.0,,1,1
4752865,2974.0,6512.219999999999,4.0,2.5,Detached,2 Storey,2025-04-07,3,0.20399999618530273,1400.0,4756.6,3.0,2.5,Detached,2 Storey,2025-04-12,1574.0,1755.62,1.0,0.0,1.0,1.0,1,1
4755196,2956.0,3601.0,4.0,3.5,Detached,2 Storey,2025-04-14,1,0.7850000262260437,2826.0,3168.0,4.0,4.0,Detached,2 Storey,2025-02-21,130.0,433.0,0.0,0.5,1.0,1.0,1,1
4755196,2956.0,3601.0,4.0,3.5,Detached,2 Storey,2025-04-14,2,0.7009999752044678,2953.0,,4.0,4.0,Detached,2 Storey,2025-03-08,3.0,,0.0,0.5,1.0,1.0,1,1
4755196,2956.0,3601.0,4.0,3.5,Detached,2 Storey,2025-04-14,3,0.6790000200271606,2500.0,5285.04,4.0,4.0,Detached,2 Storey,2025-01-24,456.0,1684.04,0.0,0.5,1.0,1.0,1,1
4756192,1109.0,,2.0,2.0,High Rise Apartment,1 Storey,2025-04-07,1,0.010999999940395355,1195.0,,2.0,2.0,Condominium,,2025-02-26,86.0,,0.0,0.0,0.0,,1,1
4756192,1109.0,,2.0,2.0,High Rise Apartment,1 Storey,2025-04-07,2,0.004000000189989805,1187.0,,2.0,2.0,Condominium,,2025-03-18,78.0,,0.0,0.0,0.0,,1,1
