orderID,id,subject_address,subject_gla_clean,subject_bedrooms_clean,subject_bathrooms_clean,subject_room_count_clean,subject_lot_size_clean,subject_property_type_clean,subject_stories_clean,subject_effective_date_clean,candidate_address,candidate_gla_clean,candidate_bedrooms_clean,candidate_bathrooms_clean,candidate_room_count_clean,candidate_lot_size_clean,candidate_property_type_clean,candidate_stories_clean,candidate_close_date_clean,score,rank
4762597,378,142-950 Oakview Ave Kingston ON K7M 6W8,1044.0,3.0,1.5,6.0,,Townhouse,2 Storey,2025-04-11,311 Janette St,1500.0,3.0,4.0,11.0,2622.0,Townhouse,2 Storey,2025-01-14,-2.4561014,1.0
4762597,130023,142-950 Oakview Ave Kingston ON K7M 6W8,1044.0,3.0,1.5,6.0,,Townhouse,2 Storey,2025-04-11,311 Janette Street ,1300.0,3.0,0.0,11.0,2622.0,Townhouse,2 Storey,2025-01-14,-2.4561014,2.0
4762597,101,142-950 Oakview Ave Kingston ON K7M 6W8,1044.0,3.0,1.5,6.0,,Townhouse,2 Storey,2025-04-11,1341 TREMONT Dr,1550.0,3.0,3.0,9.0,2099.98,Townhouse,2 Storey,2025-01-24,-2.4561014,3.0
4762739,299237,7180 207 HWY Halifax NS B0J2L0,1500.0,3.0,2.5,6.0,72745.0,Detached,1.5 Storey,2025-04-17,425 Highway 357,320.0,1.0,1.0,3.0,74381.0,Detached,1.5 Storey,2025-04-02,3.0002503,1.0
4762739,299230,7180 207 HWY Halifax NS B0J2L0,1500.0,3.0,2.5,6.0,72745.0,Detached,1.5 Storey,2025-04-17,Unit 7  East Petpeswick Road,1472.0,3.0,2.0,3.0,126952.0,Detached,Bungalow,2025-05-02,-2.328637,2.0
4762739,297301,7180 207 HWY Halifax NS B0J2L0,1500.0,3.0,2.5,6.0,72745.0,Detached,1.5 Storey,2025-04-17,638 Myers Point Road,1136.0,2.0,2.0,2.0,65340.0,Detached,Bungalow,2024-10-30,-2.3667285,3.0
4763065,146611,11 PAUL AVE Ayr ON N0B1E0,3000.0,4.0,2.5,9.0,20174.0,Detached,2 Storey,2025-05-01,60 Cedar Crescent ,895.0,2.0,1.0,10.0,16104.0,Detached,Bungalow,2025-01-16,2.936263,1.0
4763065,213855,11 PAUL AVE Ayr ON N0B1E0,3000.0,4.0,2.5,9.0,20174.0,Detached,2 Storey,2025-05-01,967 Doon Village Road ,2496.0,5.0,2.5,16.0,15456.0,Detached,2 Storey,2025-01-17,-2.0039546,2.0
4763065,201148,11 PAUL AVE Ayr ON N0B1E0,3000.0,4.0,2.5,9.0,20174.0,Detached,2 Storey,2025-05-01,48 Southridge Drive ,3128.0,6.0,3.5,19.0,6888.0,Detached,2 Storey,2025-03-03,-2.328637,3.0
4763086,2683,102 Stonewalk Dr Kemptville ON K0G 1J0,1283.0,2.0,3.0,5.0,54450.0,Detached,Bungalow,2025-04-15,609 COUNTY 44 Rd,2000.0,3.0,3.0,7.0,56253.8,Detached,Split Level,2025-01-24,3.0896237,1.0
4763086,133062,102 Stonewalk Dr Kemptville ON K0G 1J0,1283.0,2.0,3.0,5.0,54450.0,Detached,Bungalow,2025-04-15,609 COUNTY 44 Road ,2250.0,4.0,0.0,7.0,56323.0,Detached,Split Level,2025-01-24,3.0002503,2.0
4763086,959,102 Stonewalk Dr Kemptville ON K0G 1J0,1283.0,2.0,3.0,5.0,54450.0,Detached,Bungalow,2025-04-15,3232 HARVESTER Cres,2497.0,4.0,3.0,17.0,,Detached,1 Storey,2024-12-12,-2.3667285,3.0
4763087,298220,407 105 Dunbrack St Halifax NS B3M3G7,1530.0,3.0,2.0,6.0,,Condominium,1 Storey,2025-04-17,Unit 210 40 Regency Park Drive,1553.0,2.0,2.0,9.0,,Condominium,1 Storey,2025-02-18,-2.328637,1.0
4763087,298305,407 105 Dunbrack St Halifax NS B3M3G7,1530.0,3.0,2.0,6.0,,Condominium,1 Storey,2025-04-17,92 Forestside Crescent,1681.0,3.0,1.5,9.0,,Condominium,2 Storey,2025-02-26,-2.328637,2.0
4763087,298238,407 105 Dunbrack St Halifax NS B3M3G7,1530.0,3.0,2.0,6.0,,Condominium,1 Storey,2025-04-17,75 Forestside Crescent,1386.0,4.0,2.5,10.0,,Condominium,2 Storey,2025-03-06,-2.328637,3.0
4764094,295895,40 Bellroyal Crt Cole Harbour NS B2V 2B4,1746.0,3.0,2.5,7.0,6825.0,Detached,Split Level,2025-04-16,394 Arklow Drive,936.0,4.0,1.5,10.0,6255.0,Detached,Split Level,2025-01-21,3.0896237,1.0
4764094,293849,40 Bellroyal Crt Cole Harbour NS B2V 2B4,1746.0,3.0,2.5,7.0,6825.0,Detached,Split Level,2025-04-16,35 Hannebury Drive,1085.0,4.0,2.0,11.0,6600.0,Detached,Split Level,2025-01-31,3.0896237,2.0
4764094,295611,40 Bellroyal Crt Cole Harbour NS B2V 2B4,1746.0,3.0,2.5,7.0,6825.0,Detached,Split Level,2025-04-16,284 Colby Drive,1816.0,3.0,3.0,12.0,9520.0,Detached,Split Level,2025-02-03,3.0896237,3.0
4764103,203989,10 Crofton Rd Toronto ON M4G2B4,1602.0,2.0,3.0,6.0,3694.0,Semi Detached,2 Storey,2025-04-16,26 Forsyth Crescent ,1246.0,4.0,0.0,6.0,1674.0,Semi Detached,2 Storey,2025-01-19,3.0002503,1.0
4764103,206873,10 Crofton Rd Toronto ON M4G2B4,1602.0,2.0,3.0,6.0,3694.0,Semi Detached,2 Storey,2025-04-16,73 Hanna Road ,1300.0,3.0,0.0,12.0,2945.0,Semi Detached,2 Storey,2025-03-21,3.0002503,2.0
